,longitude,latitude,the_geom,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
8964,-87.70047119499998,41.68448906100002,POINT (-87.70047119499998 41.68448906100002),9962,KEDZIE,115TH STREET,NB,FS,52A,,MERRIONETTE PARK,Kedzie & 115th Street
8965,-87.800199604,41.957160112999986,POINT (-87.800199604 41.957160112999986),11301,FOREST PRES DR,NEW ENGLAND,NEB,NT,78,,CHICAGO,Forest Preserve Avenue & New England
8966,-87.75892544200002,41.87655196899999,POINT (-87.75892544200002 41.87655196899999),7,JACKSON,5351 WEST,EB,MB,126,,CHICAGO,5351 W Jackson
8967,-87.61144499900001,41.802107999999976,POINT (-87.61144499900001 41.802107999999976),1633,51ST STREET,ST. LAWRENCE,EB,NS,15,,CHICAGO,51st Street & St. Lawrence
8968,-87.60469368000003,41.73653768700001,POINT (-87.60469368000003 41.73653768700001),2470,COTTAGE GROVE,87TH STREET,NB,NS,4,,CHICAGO,Cottage Grove & 87th Street
8969,-87.682010365,42.04844118599999,POINT (-87.682010365 42.04844118599999),12648,CHURCH,SHERMAN,EB,NS,201,,EVANSTON,Church & Sherman
8970,-87.59142268400001,41.75555816000002,POINT (-87.59142268400001 41.75555816000002),7233,SOUTH CHICAGO,DORCHESTER,SEB,NT,30,,CHICAGO,South Chicago & Dorchester
8971,-87.74709314900002,42.033457379000026,POINT (-87.74709314900002 42.033457379000026),10441,SKOKIE BLVD,MAIN,NB,NS,54A,,SKOKIE,Skokie Blvd & Main
8972,-87.69618281499999,42.01946683599999,POINT (-87.69618281499999 42.01946683599999),3522,HOWARD,DEWEY,WB,NS,97,,EVANSTON,Howard & Dewey
8973,-87.58388018900001,41.79542943000001,POINT (-87.58388018900001 41.79542943000001),1518,S HYDE PARK,55TH STREET,NB,FS,"6,28,171",,CHICAGO,S Hyde Park & 55th Street
8974,-87.596477445,41.79494178599998,POINT (-87.596477445 41.79494178599998),14043,WOODLAWN,55TH STREET,NB,NS,172,,CHICAGO,Woodlawn & 55th Street
8975,-87.68328000000002,41.85200099999997,POINT (-87.68328000000002 41.85200099999997),6930,CERMAK,OAKLEY,EB,NS,21,,CHICAGO,Cermak & Oakley
8976,-87.78537799999998,41.91673500000002,POINT (-87.78537799999998 41.91673500000002),11707,NARRAGANSETT,McLEAN,SB,NS,86,,CHICAGO,Narragansett & McLean
8977,-87.58588699199998,41.747894444999986,POINT (-87.58588699199998 41.747894444999986),7197,STONY ISLAND,81ST STREET,SB,NS,28,,CHICAGO,Stony Island & 81st Street
8978,-87.64152299900002,41.66341299999999,POINT (-87.64152299900002 41.66341299999999),5990,HALSTED,127TH STREET,SB,NS,"8A,108",,CALUMET PARK,Halsted & 127th Street
8979,-87.70335783500002,41.784528497999986,POINT (-87.70335783500002 41.784528497999986),3095,KEDZIE,60TH STREET,SB,NS,"52,52A",,CHICAGO,Kedzie & 60th Street
8980,-87.78686258099998,41.95829423599997,POINT (-87.78686258099998 41.95829423599997),15766,NARRAGANSETT,WRIGHT COLLEGE ENTRY DRIVE,SB,NS,86,,CHICAGO,Narragansett & Wright College
8981,-87.75785916400002,42.062414112,POINT (-87.75785916400002 42.062414112),10453,OLD ORCHARD RD,EDENS SB ENTRANCE RAMP,EB,NS,54A,,SKOKIE,Old Orchard Rd & Edens Sb Entrance Ramp
8982,-87.70564524999998,41.78628431200002,POINT (-87.70564524999998 41.78628431200002),13082,59TH STREET,SPAULDING,WB,NS,59,,CHICAGO,59th Street & Spaulding
8983,-87.69900557900002,41.80826015700001,POINT (-87.69900557900002 41.80826015700001),8097,47TH STREET,SACRAMENTO,WB,NS,47,,CHICAGO,47th Street & Sacramento
8984,-87.64517167499997,41.70696122099997,POINT (-87.64517167499997 41.70696122099997),12176,103RD STREET,PEORIA,WB,NS,103,,CHICAGO,103rd Street & Peoria
8985,-87.68754039599997,41.73555108800002,POINT (-87.68754039599997 41.73555108800002),9512,87TH STREET,2600 WEST RR CROSSING,WB,MB,87,,CHICAGO,2600 W 87th Street
8986,-87.74834323800002,41.9023833,POINT (-87.74834323800002 41.9023833),2092,DIVISION,LAMON,WB,NS,70,,CHICAGO,Division & Lamon
8987,-87.76209879599998,41.86571502999999,POINT (-87.76209879599998 41.86571502999999),381,ROOSEVELT,5500 WEST,WB,MB,12,,CHICAGO,5500 W Roosevelt
8988,-87.650737999,41.918206,POINT (-87.650737999 41.918206),4089,ARMITAGE,FREMONT,WB,NS,73,,CHICAGO,Armitage & Fremont
8989,-87.71838719800002,42.02638495399998,POINT (-87.71838719800002 42.02638495399998),3535,OAKTON,CENTRAL PARK,WB,NS,97,,SKOKIE,Oakton & Central Park
8990,-87.72591730900001,41.807917179000015,POINT (-87.72591730900001 41.807917179000015),8111,47TH STREET,KARLOV,WB,NS,47,,CHICAGO,47th Street & Karlov
